"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1600000US0656700","Perris city, California","66545","6073",
"1600000US0657456","Pittsburg city, California","81355","14302",
"1600000US0657792","Pleasanton city, California","161588","11230",
"1600000US0658072","Pomona city, California","57018","5535",
"1600000US0659444","Rancho Cordova city, California","63732","4936",
"1600000US0659451","Rancho Cucamonga city, California","91983","8418",
"1600000US0659920","Redding city, California","56704","6643",
"1600000US0659962","Redlands city, California","71412","12530",
"1600000US0660018","Redondo Beach city, California","121690","7390",
"1600000US0660102","Redwood City city, California","121152","8463",
"1600000US0660466","Rialto city, California","62162","7252",
"1600000US0660620","Richmond city, California","72270","6492",
"1600000US0662000","Riverside city, California","67850","3527",
"1600000US0662364","Rocklin city, California","94352","6398",
"1600000US0662938","Roseville city, California","87581","8665",
"1600000US0664000","Sacramento city, California","65046","2728",
"1600000US0664224","Salinas city, California","60965","2801",
"1600000US0665000","San Bernardino city, California","49791","4300",
"1600000US0665042","San Buenaventura (Ventura) city, California","76235","3454",
"1600000US0665084","San Clemente city, California","104213","20779",
"1600000US0666000","San Diego city, California","79646","2067",
"1600000US0667000","San Francisco city, California","112376","4192",
"1600000US0668000","San Jose city, California","113036","3525",
"1600000US0668084","San Leandro city, California","81722","8037",
"1600000US0668196","San Marcos city, California","74092","5945",
"1600000US0668252","San Mateo city, California","131150","11498",
"1600000US0668378","San Ramon city, California","175974","16477",
"1600000US0669000","Santa Ana city, California","65313","4203",
"1600000US0669070","Santa Barbara city, California","78381","6626",
"1600000US0669084","Santa Clara city, California","127245","10986",
"1600000US0669088","Santa Clarita city, California","100710","5108",
"1600000US0669112","Santa Cruz city, California","85758","18314",
"1600000US0669196","Santa Maria city, California","66976","3863",
"1600000US0670000","Santa Monica city, California","96138","9531",
"1600000US0670098","Santa Rosa city, California","74774","4390",
"1600000US0672016","Simi Valley city, California","92260","7955",
"1600000US0673080","South Gate city, California","55128","6003",
"1600000US0673262","South San Francisco city, California","102365","12975",
"1600000US0673430","South Whittier CDP, California","87822","11215",
"1600000US0675000","Stockton city, California","54297","2086",
"1600000US0677000","Sunnyvale city, California","150450","12106",
"1600000US0678120","Temecula city, California","96402","6717",
"1600000US0678582","Thousand Oaks city, California","104929","8757",
"1600000US0680000","Torrance city, California","96492","5827",
"1600000US0680238","Tracy city, California","98630","9545",
"1600000US0680812","Turlock city, California","61016","9062",
"1600000US0680854","Tustin city, California","80142","6116",
"1600000US0681204","Union City city, California","123780","9686",
"1600000US0681344","Upland city, California","72788","6022",
"1600000US0681554","Vacaville city, California","90673","7713",
"1600000US0681666","Vallejo city, California","77543","5809",
"1600000US0682590","Victorville city, California","50828","5437",
"1600000US0682954","Visalia city, California","63737","8214",
"1600000US0682996","Vista city, California","76889","9218",
"1600000US0683346","Walnut Creek city, California","110539","19048",
"1600000US0684200","West Covina city, California","82474","6522",
"1600000US0684550","Westminster city, California","62618","8929",
"1600000US0685292","Whittier city, California","81801","7507",
"1600000US0686832","Yorba Linda city, California","125819","11228",
"1600000US0686972","Yuba City city, California","58057","6026",
"1600000US0803455","Arvada city, Colorado","87955","6216",
"1600000US0804000","Aurora city, Colorado","63128","2255",
"1600000US0807850","Boulder city, Colorado","62207","7900",
"1600000US0809280","Broomfield city, Colorado","95800","12625",
"1600000US0812815","Centennial city, Colorado","110443","5661",
"1600000US0816000","Colorado Springs city, Colorado","65331","2348",
"1600000US0820000","Denver city, Colorado","68377","2873",
"1600000US0827425","Fort Collins city, Colorado","65635","4133",
"1600000US0832155","Greeley city, Colorado","58067","7171",
"1600000US0836410","Highlands Ranch CDP, Colorado","124795","7950",
"1600000US0843000","Lakewood city, Colorado","70654","3156",
"1600000US0845970","Longmont city, Colorado","78322","7501",
"1600000US0846465","Loveland city, Colorado","74876","10112",
"1600000US0862000","Pueblo city, Colorado","41012","4320",
"1600000US0877290","Thornton city, Colorado","74690","3882",
"1600000US0883835","Westminster city, Colorado","71626","4134",
"1600000US0908000","Bridgeport city, Connecticut","44433","3721",
"1600000US0918430","Danbury city, Connecticut","66820","7874",
"1600000US0937000","Hartford city, Connecticut","30444","2630",
"1600000US0950370","New Britain city, Connecticut","46218","5334",
"1600000US0952000","New Haven city, Connecticut","41950","3706",
"1600000US0955990","Norwalk city, Connecticut","80338","7948",
"1600000US0973000","Stamford city, Connecticut","86993","8854",
"1600000US0980000","Waterbury city, Connecticut","41256","3388",
"1600000US1077580","Wilmington city, Delaware","45115","6369",
"1600000US1150000","Washington city, District of Columbia","85203","3414",
"1600000US1200410","Alafaya CDP, Florida","71288","6705",
"1600000US1207300","Boca Raton city, Florida","91438","7406",
"1600000US1207875","Boynton Beach city, Florida","53755","6174",
"1600000US1208150","Brandon CDP, Florida","61372","3509",
"1600000US1210275","Cape Coral city, Florida","60197","4988",
"1600000US1212875","Clearwater city, Florida","45764","4590",
"1600000US1214400","Coral Springs city, Florida","75479","7916",
"1600000US1216475","Davie town, Florida","75202","9965",
"1600000US1216525","Daytona Beach city, Florida","39292","3436",
"1600000US1216725","Deerfield Beach city, Florida","45172","2552",
"1600000US1217100","Delray Beach city, Florida","61179","9019",
"1600000US1217200","Deltona city, Florida","53710","4108",
"1600000US1224000","Fort Lauderdale city, Florida","59290","3864",
"1600000US1224125","Fort Myers city, Florida","41742","3634",
"1600000US1225175","Gainesville city, Florida","38559","4754",
"1600000US1230000","Hialeah city, Florida","38252","3310",
"1600000US1232000","Hollywood city, Florida","52288","3015",
"1600000US1232275","Homestead city, Florida","44134","6406",
"1600000US1235000","Jacksonville city, Florida","54269","2016",
"1600000US1235875","Jupiter town, Florida","88384","11803",
"1600000US1236100","Kendall CDP, Florida","72546","16589",
"1600000US1236950","Kissimmee city, Florida","35574","5402",
"1600000US1238250","Lakeland city, Florida","46593","5122",
"1600000US1239425","Largo city, Florida","42875","5247",
"1600000US1239550","Lauderhill city, Florida","38899","7347",
"1600000US1239925","Lehigh Acres CDP, Florida","47348","4802",
"1600000US1243975","Melbourne city, Florida","49142","5781",
"1600000US1245000","Miami city, Florida","41818","2841",
"1600000US1245025","Miami Beach city, Florida","55058","5980",
"1600000US1245060","Miami Gardens city, Florida","46274","3280",
"1600000US1245975","Miramar city, Florida","68293","8863",
"1600000US1249675","North Port city, Florida","70281","13924",
"1600000US1253000","Orlando city, Florida","51820","2198",
"1600000US1254000","Palm Bay city, Florida","45858","5528",
"1600000US1254200","Palm Coast city, Florida","59149","4108",
"1600000US1254350","Palm Harbor CDP, Florida","59672","5726",
"1600000US1255775","Pembroke Pines city, Florida","60825","7852",
"1600000US1256825","Pine Hills CDP, Florida","38158","5363",
"1600000US1257425","Plantation city, Florida","75920","5619",
"1600000US1257900","Poinciana CDP, Florida","52584","8833",
"1600000US1258050","Pompano Beach city, Florida","52177","5751",
"1600000US1258350","Port Charlotte CDP, Florida","49793","5168",
"1600000US1258715","Port St. Lucie city, Florida","60813","5811",
"1600000US1260950","Riverview CDP, Florida","67744","6941",
"1600000US1263000","St. Petersburg city, Florida","58057","2748",
"1600000US1268350","Spring Hill CDP, Florida","49112","4673",
"1600000US1269700","Sunrise city, Florida","50284","5845",
"1600000US1270600","Tallahassee city, Florida","42031","4310",
"1600000US1270675","Tamarac city, Florida","50943","3672",
"1600000US1271000","Tampa city, Florida","54599","3230",
"1600000US1271569","The Hammocks CDP, Florida","61966","12245",
"1600000US1271625","The Villages CDP, Florida","55906","5018",
"1600000US1272145","Town 'n' Country CDP, Florida","51778","3000",
"1600000US1275812","Wellington village, Florida","98559","11733",
"1600000US1275875","Wesley Chapel CDP, Florida","86885","11334",
"1600000US1276582","Weston city, Florida","105591","7241",
"1600000US1276600","West Palm Beach city, Florida","53046","4971",
"1600000US1301052","Albany city, Georgia","35575","3578",
"1600000US1301696","Alpharetta city, Georgia","110171","12378",
"1600000US1303440","Athens-Clarke County unified government (balance), Georgia","42053","2179",
"1600000US1304000","Atlanta city, Georgia","65345","2632",
"1600000US1304204","Augusta-Richmond County consolidated government (balance), Georgia","39497","2664",
"1600000US1319000","Columbus city, Georgia","47288","3943",
"1600000US1342425","Johns Creek city, Georgia","121848","9089",
"1600000US1349008","Macon-Bibb County, Georgia","40495","3567",
"1600000US1367284","Roswell city, Georgia","108616","12646",
"1600000US1368516","Sandy Springs city, Georgia","75064","5321",
"1600000US1369000","Savannah city, Georgia","44723","4135",
"1600000US1372122","South Fulton city, Georgia","68823","9649",
"1600000US1380508","Warner Robins city, Georgia","53029","10812",
"1600000US1571550","Urban Honolulu CDP, Hawaii","71247","1971",
"1600000US1608830","Boise City city, Idaho","56681","3840",
"1600000US1652120","Meridian city, Idaho","77359","8249",
"1600000US1656260","Nampa city, Idaho","47997","5944",
"1600000US1702154","Arlington Heights village, Illinois","90697","6089",
"1600000US1703012","Aurora city, Illinois","69463","4166",
"1600000US1706613","Bloomington city, Illinois","67179","5230",
"1600000US1707133","Bolingbrook village, Illinois","82721","5975",
"1600000US1712385","Champaign city, Illinois","50648","3123",
"1600000US1714000","Chicago city, Illinois","57238","1144",
"1600000US1714351","Cicero town, Illinois","53246","7850",
"1600000US1718823","Decatur city, Illinois","43042","4304",
"1600000US1723074","Elgin city, Illinois","67042","9578",
"1600000US1724582","Evanston city, Illinois","82470","10110",
"1600000US1738570","Joliet city, Illinois","75818","3955",
"1600000US1751622","Naperville city, Illinois","123936","7712",
"1600000US1757225","Palatine village, Illinois","75243","7515",
"1600000US1759000","Peoria city, Illinois","56454","4395",
"1600000US1765000","Rockford city, Illinois","42489","3147",
"1600000US1768003","Schaumburg village, Illinois","84146","5868",
"1600000US1770122","Skokie village, Illinois","67487","9008",
"1600000US1772000","Springfield city, Illinois","51142","3778",
"1600000US1779293","Waukegan city, Illinois","46220","7831",
"1600000US1805860","Bloomington city, Indiana","36454","5502",
"1600000US1810342","Carmel city, Indiana","125168","8749",
"1600000US1822000","Evansville city, Indiana","40899","3816",
"1600000US1823278","Fishers city, Indiana","98168","12552",
"1600000US1825000","Fort Wayne city, Indiana","48658","2110",
"1600000US1827000","Gary city, Indiana","33333","2547",
"1600000US1831000","Hammond city, Indiana","41568","3883",
"1600000US1836003","Indianapolis city (balance), Indiana","47678","1854",
"1600000US1840788","Lafayette city, Indiana","44571","3771",
"1600000US1851876","Muncie city, Indiana","32565","2700",
"1600000US1854180","Noblesville city, Indiana","84388","10388",
"1600000US1871000","South Bend city, Indiana","40532","2516",
"1600000US1901855","Ames city, Iowa","49830","3102",
"1600000US1902305","Ankeny city, Iowa","74701","9589",
"1600000US1912000","Cedar Rapids city, Iowa","59603","4235",
"1600000US1919000","Davenport city, Iowa","47337","3453",
"1600000US1921000","Des Moines city, Iowa","53336","3206",
"1600000US1938595","Iowa City city, Iowa","46053","4269",
"1600000US1973335","Sioux City city, Iowa","60682","5271",
"1600000US1982425","Waterloo city, Iowa","45646","4291",
"1600000US1983910","West Des Moines city, Iowa","72917","7938",
"1600000US2036000","Kansas City city, Kansas","46291","2246",
"1600000US2038900","Lawrence city, Kansas","50985","1938",
"1600000US2052575","Olathe city, Kansas","86082","4498",
"1600000US2053775","Overland Park city, Kansas","83717","3820",
"1600000US2064500","Shawnee city, Kansas","82874","8077",
"1600000US2071000","Topeka city, Kansas","44338","2041",
"1600000US2079000","Wichita city, Kansas","51051","1726",
"1600000US2108902","Bowling Green city, Kentucky","38665","5756",
"1600000US2146027","Lexington-Fayette urban county, Kentucky","54896","2466",
"1600000US2148006","Louisville/Jefferson County metro government (balance), Kentucky","52303","2074",
"1600000US2205000","Baton Rouge city, Louisiana","42470","3595",
"1600000US2208920","Bossier City city, Louisiana","52078","5421",
"1600000US2239475","Kenner city, Louisiana","47317","6293",
"1600000US2240735","Lafayette city, Louisiana","52246","6157",
"1600000US2241155","Lake Charles city, Louisiana","43546","4246",
"1600000US2250115","Metairie CDP, Louisiana","55960","4405",
"1600000US2255000","New Orleans city, Louisiana","38423","2033",
"1600000US2270000","Shreveport city, Louisiana","36338","1853",
"1600000US2360545","Portland city, Maine","62536","6347",
"1600000US2404000","Baltimore city, Maryland","51000","1530",
"1600000US2419125","Columbia CDP, Maryland","103246","6974",
"1600000US2426000","Ellicott City CDP, Maryland","131394","21201",
"1600000US2430325","Frederick city, Maryland","75020","5343",
"1600000US2431175","Gaithersburg city, Maryland","76982","10453",
"1600000US2432025","Germantown CDP, Maryland","91824","7132",
"1600000US2432650","Glen Burnie CDP, Maryland","70157","7577",
"1600000US2467675","Rockville city, Maryland","114044","11193",
