"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"1600000US0103076","Auburn city, Alabama","48531","12614",
"1600000US0107000","Birmingham city, Alabama","36614","1690",
"1600000US0121184","Dothan city, Alabama","45088","4657",
"1600000US0135896","Hoover city, Alabama","99276","7347",
"1600000US0137000","Huntsville city, Alabama","70757","5762",
"1600000US0150000","Mobile city, Alabama","43786","4601",
"1600000US0151000","Montgomery city, Alabama","46957","4694",
"1600000US0177256","Tuscaloosa city, Alabama","41770","7294",
"1600000US0203000","Anchorage municipality, Alaska","86654","5528",
"1600000US0404720","Avondale city, Arizona","71423","4328",
"1600000US0407940","Buckeye city, Arizona","75417","4545",
"1600000US0410670","Casas Adobes CDP, Arizona","71547","5492",
"1600000US0412000","Chandler city, Arizona","94613","3689",
"1600000US0423620","Flagstaff city, Arizona","61386","3220",
"1600000US0427400","Gilbert town, Arizona","104802","4103",
"1600000US0427820","Glendale city, Arizona","62910","4083",
"1600000US0428380","Goodyear city, Arizona","90577","8043",
"1600000US0446000","Mesa city, Arizona","69266","2932",
"1600000US0454050","Peoria city, Arizona","92566","8229",
"1600000US0455000","Phoenix city, Arizona","68435","1626",
"1600000US0458150","Queen Creek town, Arizona","121262","12496",
"1600000US0464210","San Tan Valley CDP, Arizona","81956","14040",
"1600000US0465000","Scottsdale city, Arizona","99097","7127",
"1600000US0471510","Surprise city, Arizona","78411","6470",
"1600000US0473000","Tempe city, Arizona","68662","6668",
"1600000US0477000","Tucson city, Arizona","50306","2137",
"1600000US0485540","Yuma city, Arizona","54260","3935",
"1600000US0515190","Conway city, Arkansas","53029","5164",
"1600000US0523290","Fayetteville city, Arkansas","61428","11779",
"1600000US0524550","Fort Smith city, Arkansas","44718","5599",
"1600000US0535710","Jonesboro city, Arkansas","45497","6526",
"1600000US0541000","Little Rock city, Arkansas","53565","5973",
"1600000US0560410","Rogers city, Arkansas","67408","6941",
"1600000US0566080","Springdale city, Arkansas","63396","6113",
"1600000US0600562","Alameda city, California","115468","21343",
"1600000US0600884","Alhambra city, California","72222","6778",
"1600000US0602000","Anaheim city, California","81747","5420",
"1600000US0602252","Antioch city, California","81008","12996",
"1600000US0602364","Apple Valley town, California","63031","7615",
"1600000US0602553","Arden-Arcade CDP, California","62145","9388",
"1600000US0603526","Bakersfield city, California","66666","3803",
"1600000US0603666","Baldwin Park city, California","69854","9193",
"1600000US0604982","Bellflower city, California","67909","8719",
"1600000US0606000","Berkeley city, California","101048","11890",
"1600000US0608786","Buena Park city, California","101346","11780",
"1600000US0608954","Burbank city, California","81177","6255",
"1600000US0610046","Camarillo city, California","100238","14140",
"1600000US0611194","Carlsbad city, California","124669","12330",
"1600000US0611390","Carmichael CDP, California","71656","8546",
"1600000US0611530","Carson city, California","92609","8258",
"1600000US0611964","Castro Valley CDP, California","121384","17317",
"1600000US0613014","Chico city, California","61850","4273",
"1600000US0613210","Chino city, California","97473","10403",
"1600000US0613214","Chino Hills city, California","113811","14309",
"1600000US0613392","Chula Vista city, California","91949","7391",
"1600000US0613588","Citrus Heights city, California","66607","4963",
"1600000US0614218","Clovis city, California","84837","7419",
"1600000US0615044","Compton city, California","62050","7254",
"1600000US0616000","Concord city, California","96961","8312",
"1600000US0616350","Corona city, California","92606","9293",
"1600000US0616532","Costa Mesa city, California","97904","6710",
"1600000US0617918","Daly City city, California","95424","17674",
"1600000US0618100","Davis city, California","84074","8931",
"1600000US0619766","Downey city, California","72556","4271",
"1600000US0620018","Dublin city, California","205219","13183",
"1600000US0620802","East Los Angeles CDP, California","65971","7734",
"1600000US0621230","Eastvale city, California","136834","24774",
"1600000US0621712","El Cajon city, California","61356","8910",
"1600000US0622020","Elk Grove city, California","109242","5679",
"1600000US0622230","El Monte city, California","55609","5123",
"1600000US0622804","Escondido city, California","80749","9048",
"1600000US0623182","Fairfield city, California","90346","10065",
"1600000US0624638","Folsom city, California","125010","13825",
"1600000US0624680","Fontana city, California","93851","3684",
"1600000US0626000","Fremont city, California","155968","5413",
"1600000US0627000","Fresno city, California","61250","2730",
"1600000US0628000","Fullerton city, California","95431","8428",
"1600000US0629000","Garden Grove city, California","74109","4611",
"1600000US0630000","Glendale city, California","79633","5602",
"1600000US0632548","Hawthorne city, California","70122","8385",
"1600000US0633000","Hayward city, California","96386","7637",
"1600000US0633182","Hemet city, California","45042","4423",
"1600000US0633434","Hesperia city, California","67950","6480",
"1600000US0636000","Huntington Beach city, California","107808","8194",
"1600000US0636448","Indio city, California","66841","9434",
"1600000US0636546","Inglewood city, California","68135","6987",
"1600000US0636770","Irvine city, California","105774","5936",
"1600000US0637692","Jurupa Valley city, California","81052","9983",
"1600000US0639486","Lake Elsinore city, California","76707","12764",
"1600000US0639496","Lake Forest city, California","108838","11582",
"1600000US0639892","Lakewood city, California","104534","7872",
"1600000US0640130","Lancaster city, California","64242","5241",
"1600000US0641992","Livermore city, California","130111","18721",
"1600000US0642202","Lodi city, California","76874","10599",
"1600000US0643000","Long Beach city, California","73905","3108",
"1600000US0644000","Los Angeles city, California","70372","1190",
"1600000US0644574","Lynwood city, California","61695","6814",
"1600000US0645022","Madera city, California","49358","7834",
"1600000US0645484","Manteca city, California","82068","7553",
"1600000US0646842","Menifee city, California","85175","9312",
"1600000US0646898","Merced city, California","52127","8887",
"1600000US0647766","Milpitas city, California","169460","18238",
"1600000US0648256","Mission Viejo city, California","124971","11118",
"1600000US0648354","Modesto city, California","70469","4382",
"1600000US0649270","Moreno Valley city, California","79840","5217",
"1600000US0649670","Mountain View city, California","157243","15948",
"1600000US0650076","Murrieta city, California","104708","6408",
"1600000US0650258","Napa city, California","92878","10212",
"1600000US0651182","Newport Beach city, California","136588","18798",
"1600000US0652526","Norwalk city, California","79850","7125",
"1600000US0653000","Oakland city, California","82236","4270",
"1600000US0653322","Oceanside city, California","78125","5758",
"1600000US0653896","Ontario city, California","73872","6229",
"1600000US0653980","Orange city, California","103045","6421",
"1600000US0654652","Oxnard city, California","88268","7215",
"1600000US0655156","Palmdale city, California","73417","4194",
"1600000US0655282","Palo Alto city, California","195781","31219",
"1600000US0656000","Pasadena city, California","86677","8717",
"1600000US0656700","Perris city, California","69843","7658",
"1600000US0657456","Pittsburg city, California","92800","14236",
"1600000US0657792","Pleasanton city, California","145263","14165",
"1600000US0658072","Pomona city, California","70494","4915",
"1600000US0659444","Rancho Cordova city, California","84037","8257",
"1600000US0659451","Rancho Cucamonga city, California","83850","7615",
"1600000US0659920","Redding city, California","58702","5802",
"1600000US0659962","Redlands city, California","87634","9739",
"1600000US0660018","Redondo Beach city, California","121445","20361",
"1600000US0660102","Redwood City city, California","145128","13875",
"1600000US0660466","Rialto city, California","69982","7738",
"1600000US0660620","Richmond city, California","85754","11068",
"1600000US0662000","Riverside city, California","76558","6122",
"1600000US0662364","Rocklin city, California","107520","9331",
"1600000US0662938","Roseville city, California","107714","6790",
"1600000US0664000","Sacramento city, California","75311","3352",
"1600000US0664224","Salinas city, California","80154","3266",
"1600000US0665000","San Bernardino city, California","65311","5019",
"1600000US0665042","San Buenaventura (Ventura) city, California","97816","5375",
"1600000US0666000","San Diego city, California","93042","2309",
"1600000US0667000","San Francisco city, California","121826","5224",
"1600000US0668000","San Jose city, California","126377","3394",
"1600000US0668084","San Leandro city, California","84017","9046",
"1600000US0668196","San Marcos city, California","89239","14639",
"1600000US0668252","San Mateo city, California","129957","7907",
"1600000US0668378","San Ramon city, California","162388","18736",
"1600000US0669000","Santa Ana city, California","80265","5063",
"1600000US0669070","Santa Barbara city, California","90711","9816",
"1600000US0669084","Santa Clara city, California","155238","17032",
"1600000US0669088","Santa Clarita city, California","109336","7203",
