"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1600000US0103076","Auburn city, Alabama","46031","8334",
"1600000US0107000","Birmingham city, Alabama","36753","3232",
"1600000US0121184","Dothan city, Alabama","47411","4860",
"1600000US0135896","Hoover city, Alabama","98689","6257",
"1600000US0137000","Huntsville city, Alabama","54342","4497",
"1600000US0150000","Mobile city, Alabama","46788","2777",
"1600000US0151000","Montgomery city, Alabama","51074","2844",
"1600000US0177256","Tuscaloosa city, Alabama","40934","4964",
"1600000US0203000","Anchorage municipality, Alaska","82716","3743",
"1600000US0404720","Avondale city, Arizona","71296","8587",
"1600000US0407940","Buckeye city, Arizona","83348","4349",
"1600000US0410670","Casas Adobes CDP, Arizona","70278","9796",
"1600000US0412000","Chandler city, Arizona","83709","4424",
"1600000US0423620","Flagstaff city, Arizona","58900","7027",
"1600000US0427400","Gilbert town, Arizona","102793","3640",
"1600000US0427820","Glendale city, Arizona","57137","3590",
"1600000US0428380","Goodyear city, Arizona","85147","8024",
"1600000US0446000","Mesa city, Arizona","63836","2762",
"1600000US0454050","Peoria city, Arizona","77368","7470",
"1600000US0455000","Phoenix city, Arizona","60931","1308",
"1600000US0464210","San Tan Valley CDP, Arizona","75624","7257",
"1600000US0465000","Scottsdale city, Arizona","86097","6512",
"1600000US0471510","Surprise city, Arizona","76405","5776",
"1600000US0473000","Tempe city, Arizona","66297","5241",
"1600000US0477000","Tucson city, Arizona","44365","2163",
"1600000US0485540","Yuma city, Arizona","47249","4454",
"1600000US0515190","Conway city, Arkansas","46805","8776",
"1600000US0523290","Fayetteville city, Arkansas","44859","6290",
"1600000US0524550","Fort Smith city, Arkansas","43097","6867",
"1600000US0535710","Jonesboro city, Arkansas","42939","6518",
"1600000US0541000","Little Rock city, Arkansas","54878","4551",
"1600000US0550450","North Little Rock city, Arkansas","40870","6151",
"1600000US0560410","Rogers city, Arkansas","65823","5423",
"1600000US0566080","Springdale city, Arkansas","47960","5001",
"1600000US0600562","Alameda city, California","109545","13705",
"1600000US0600884","Alhambra city, California","74132","5128",
"1600000US0602000","Anaheim city, California","76075","5752",
"1600000US0602252","Antioch city, California","72412","11622",
"1600000US0602364","Apple Valley town, California","51314","2814",
"1600000US0602553","Arden-Arcade CDP, California","54974","5698",
"1600000US0603526","Bakersfield city, California","62402","2931",
"1600000US0603666","Baldwin Park city, California","66997","10161",
"1600000US0604982","Bellflower city, California","67658","4927",
"1600000US0606000","Berkeley city, California","95360","7624",
"1600000US0608786","Buena Park city, California","87378","9333",
"1600000US0608954","Burbank city, California","73613","4194",
"1600000US0610046","Camarillo city, California","90290","6933",
"1600000US0611194","Carlsbad city, California","123409","12851",
"1600000US0611390","Carmichael CDP, California","68377","5977",
"1600000US0611530","Carson city, California","84502","10558",
"1600000US0613014","Chico city, California","59876","7961",
"1600000US0613210","Chino city, California","87090","7983",
"1600000US0613214","Chino Hills city, California","103473","14319",
"1600000US0613392","Chula Vista city, California","87876","5663",
"1600000US0613588","Citrus Heights city, California","61898","4323",
"1600000US0614218","Clovis city, California","89398","9034",
"1600000US0615044","Compton city, California","62200","4824",
"1600000US0616000","Concord city, California","102477","12118",
"1600000US0616350","Corona city, California","86790","8959",
"1600000US0616532","Costa Mesa city, California","91857","10649",
"1600000US0617918","Daly City city, California","101834","13927",
"1600000US0618100","Davis city, California","60619","14452",
"1600000US0619766","Downey city, California","74590","5203",
"1600000US0620802","East Los Angeles CDP, California","53194","5198",
"1600000US0621712","El Cajon city, California","63236","5616",
"1600000US0622020","Elk Grove city, California","94971","7405",
"1600000US0622230","El Monte city, California","50829","3903",
"1600000US0622804","Escondido city, California","58157","5752",
"1600000US0623182","Fairfield city, California","89693","7449",
"1600000US0624477","Florence-Graham CDP, California","52152","3828",
"1600000US0624638","Folsom city, California","119824","10803",
"1600000US0624680","Fontana city, California","80800","4834",
"1600000US0626000","Fremont city, California","144118","8133",
"1600000US0627000","Fresno city, California","53161","2422",
"1600000US0628000","Fullerton city, California","93983","9979",
"1600000US0629000","Garden Grove city, California","72240","8420",
"1600000US0630000","Glendale city, California","68392","6185",
"1600000US0632548","Hawthorne city, California","60361","6347",
"1600000US0633000","Hayward city, California","96886","8473",
"1600000US0633182","Hemet city, California","39653","3300",
"1600000US0633434","Hesperia city, California","50271","6147",
"1600000US0636000","Huntington Beach city, California","102423","5870",
"1600000US0636448","Indio city, California","74774","7905",
"1600000US0636546","Inglewood city, California","61780","5750",
"1600000US0636770","Irvine city, California","111574","7466",
"1600000US0637692","Jurupa Valley city, California","76090","9647",
"1600000US0639248","Laguna Niguel city, California","120405","12133",
"1600000US0639486","Lake Elsinore city, California","77090","7085",
"1600000US0639496","Lake Forest city, California","118888","10667",
"1600000US0639892","Lakewood city, California","97508","11890",
"1600000US0640130","Lancaster city, California","56672","6308",
"1600000US0641992","Livermore city, California","138225","9939",
"1600000US0642202","Lodi city, California","67484","9526",
"1600000US0643000","Long Beach city, California","67804","4366",
"1600000US0644000","Los Angeles city, California","67418","1355",
"1600000US0644574","Lynwood city, California","53966","7733",
"1600000US0645022","Madera city, California","50364","9600",
"1600000US0645484","Manteca city, California","82265","8795",
"1600000US0646842","Menifee city, California","77033","9499",
"1600000US0646898","Merced city, California","50309","7076",
"1600000US0647766","Milpitas city, California","140124","8971",
"1600000US0648256","Mission Viejo city, California","119798","8206",
"1600000US0648354","Modesto city, California","62067","4674",
"1600000US0649270","Moreno Valley city, California","65449","3242",
"1600000US0649670","Mountain View city, California","147915","15480",
"1600000US0650076","Murrieta city, California","100080","5881",
"1600000US0650258","Napa city, California","88310","10782",
"1600000US0651182","Newport Beach city, California","128294","20198",
"1600000US0652526","Norwalk city, California","80513","4014",
"1600000US0653000","Oakland city, California","82018","4770",
"1600000US0653322","Oceanside city, California","77226","5301",
"1600000US0653896","Ontario city, California","75266","4272",
"1600000US0653980","Orange city, California","95827","6727",
"1600000US0654652","Oxnard city, California","78981","5452",
"1600000US0655156","Palmdale city, California","71774","5547",
"1600000US0655282","Palo Alto city, California","160360","16831",
"1600000US0656000","Pasadena city, California","92053","5476",
"1600000US0656700","Perris city, California","70714","12952",
"1600000US0657456","Pittsburg city, California","82960","7777",
"1600000US0657792","Pleasanton city, California","156063","13922",
"1600000US0658072","Pomona city, California","67202","4066",
"1600000US0659444","Rancho Cordova city, California","71655","5196",
"1600000US0659451","Rancho Cucamonga city, California","92773","4684",
"1600000US0659920","Redding city, California","63165","5159",
"1600000US0659962","Redlands city, California","72410","15911",
"1600000US0660018","Redondo Beach city, California","109019","14059",
"1600000US0660102","Redwood City city, California","138913","17229",
"1600000US0660466","Rialto city, California","70188","6764",
"1600000US0660620","Richmond city, California","72130","8087",
"1600000US0662000","Riverside city, California","71967","2872",
"1600000US0662364","Rocklin city, California","98514","4446",
"1600000US0662938","Roseville city, California","101101","4222",
"1600000US0664000","Sacramento city, California","69134","4627",
"1600000US0664224","Salinas city, California","69117","7213",
"1600000US0665000","San Bernardino city, California","49721","4055",
"1600000US0665042","San Buenaventura (Ventura) city, California","84110","8812",
"1600000US0665084","San Clemente city, California","127650","21134",
"1600000US0666000","San Diego city, California","85507","2111",
"1600000US0667000","San Francisco city, California","123859","4727",
"1600000US0668000","San Jose city, California","115893","4636",
"1600000US0668084","San Leandro city, California","95072","13019",
"1600000US0668196","San Marcos city, California","80814","13050",
"1600000US0668252","San Mateo city, California","149312","11021",
"1600000US0668378","San Ramon city, California","189185","17541",
"1600000US0669000","Santa Ana city, California","70084","2811",
"1600000US0669070","Santa Barbara city, California","73974","8420",
"1600000US0669084","Santa Clara city, California","147507","9798",
"1600000US0669088","Santa Clarita city, California","97904","6330",
"1600000US0669112","Santa Cruz city, California","90855","13302",
"1600000US0669196","Santa Maria city, California","69393","7102",
"1600000US0670000","Santa Monica city, California","92490","15502",
"1600000US0670098","Santa Rosa city, California","78574","7202",
"1600000US0672016","Simi Valley city, California","100927","8969",
"1600000US0673080","South Gate city, California","53736","6102",
"1600000US0673262","South San Francisco city, California","120573","12551",
"1600000US0675000","Stockton city, California","59504","3156",
"1600000US0677000","Sunnyvale city, California","151475","10648",
"1600000US0678120","Temecula city, California","95918","7039",
"1600000US0678582","Thousand Oaks city, California","113562","10035",
"1600000US0680000","Torrance city, California","100107","4998",
"1600000US0680238","Tracy city, California","97292","7139",
"1600000US0680644","Tulare city, California","60081","5493",
"1600000US0680812","Turlock city, California","58263","9773",
"1600000US0680854","Tustin city, California","93304","11947",
"1600000US0681204","Union City city, California","128108","6577",
"1600000US0681344","Upland city, California","82426","7897",
"1600000US0681554","Vacaville city, California","91302","4467",
"1600000US0681666","Vallejo city, California","71265","4037",
"1600000US0682590","Victorville city, California","60391","8175",
"1600000US0682954","Visalia city, California","59911","5214",
"1600000US0682996","Vista city, California","78656","9138",
"1600000US0683346","Walnut Creek city, California","120238","4142",
"1600000US0684200","West Covina city, California","82135","5102",
"1600000US0684550","Westminster city, California","56378","9244",
"1600000US0685292","Whittier city, California","76333","8114",
"1600000US0686832","Yorba Linda city, California","122962","10858",
"1600000US0686972","Yuba City city, California","61773","5212",
"1600000US0803455","Arvada city, Colorado","89523","10037",
"1600000US0804000","Aurora city, Colorado","69235","3019",
"1600000US0807850","Boulder city, Colorado","74900","7741",
"1600000US0809280","Broomfield city, Colorado","111400","11467",
"1600000US0812415","Castle Rock town, Colorado","115543","11718",
"1600000US0812815","Centennial city, Colorado","111257","3767",
"1600000US0816000","Colorado Springs city, Colorado","70527","2483",
"1600000US0820000","Denver city, Colorado","75646","1852",
"1600000US0827425","Fort Collins city, Colorado","70474","4330",
"1600000US0832155","Greeley city, Colorado","61492","6349",
"1600000US0836410","Highlands Ranch CDP, Colorado","132836","6870",
"1600000US0843000","Lakewood city, Colorado","70178","4463",
"1600000US0845970","Longmont city, Colorado","82974","7003",
"1600000US0846465","Loveland city, Colorado","71740","7782",
"1600000US0862000","Pueblo city, Colorado","43148","3506",
"1600000US0877290","Thornton city, Colorado","80833","3480",
"1600000US0883835","Westminster city, Colorado","81322","3653",
"1600000US0908000","Bridgeport city, Connecticut","44035","5346",
"1600000US0918430","Danbury city, Connecticut","72226","11634",
"1600000US0937000","Hartford city, Connecticut","36762","4601",
"1600000US0950370","New Britain city, Connecticut","50031","5877",
"1600000US0952000","New Haven city, Connecticut","41956","5941",
"1600000US0955990","Norwalk city, Connecticut","89881","4173",
"1600000US0973000","Stamford city, Connecticut","100713","8112",
"1600000US0980000","Waterbury city, Connecticut","42754","5517",
"1600000US1077580","Wilmington city, Delaware","47722","5312",
"1600000US1150000","Washington city, District of Columbia","92266","2497",
"1600000US1200410","Alafaya CDP, Florida","75384","20327",
"1600000US1207300","Boca Raton city, Florida","88828","15915",
"1600000US1207875","Boynton Beach city, Florida","65182","5973",
"1600000US1208150","Brandon CDP, Florida","60359","6525",
"1600000US1210275","Cape Coral city, Florida","68282","4766",
"1600000US1212875","Clearwater city, Florida","52431","5214",
"1600000US1214400","Coral Springs city, Florida","79115","4848",
"1600000US1216475","Davie town, Florida","71112","8993",
"1600000US1216525","Daytona Beach city, Florida","40439","6854",
"1600000US1216725","Deerfield Beach city, Florida","47563","4988",
"1600000US1217100","Delray Beach city, Florida","66766","4137",
"1600000US1217200","Deltona city, Florida","56505","6106",
"1600000US1217935","Doral city, Florida","77704","9014",
"1600000US1224000","Fort Lauderdale city, Florida","67750","5410",
"1600000US1224125","Fort Myers city, Florida","53246","4164",
"1600000US1224562","Fountainebleau CDP, Florida","65107","10886",
"1600000US1225175","Gainesville city, Florida","39201","3604",
"1600000US1230000","Hialeah city, Florida","40725","4837",
"1600000US1232000","Hollywood city, Florida","55835","6055",
"1600000US1232275","Homestead city, Florida","52907","6673",
"1600000US1235000","Jacksonville city, Florida","56975","2140",
"1600000US1235875","Jupiter town, Florida","92233","16384",
"1600000US1236100","Kendall CDP, Florida","73081","12310",
"1600000US1236950","Kissimmee city, Florida","39661","5428",
"1600000US1238250","Lakeland city, Florida","47902","6600",
"1600000US1239425","Largo city, Florida","47427","5341",
"1600000US1239550","Lauderhill city, Florida","41707","5889",
"1600000US1239925","Lehigh Acres CDP, Florida","46361","3905",
"1600000US1243975","Melbourne city, Florida","47933","4426",
"1600000US1245000","Miami city, Florida","42966","2774",
"1600000US1245025","Miami Beach city, Florida","52816","4781",
"1600000US1245060","Miami Gardens city, Florida","43196","3515",
"1600000US1245975","Miramar city, Florida","75079","12673",
"1600000US1249675","North Port city, Florida","56226","11305",
"1600000US1253000","Orlando city, Florida","58819","4309",
"1600000US1254000","Palm Bay city, Florida","54113","3017",
"1600000US1254200","Palm Coast city, Florida","60158","9144",
"1600000US1255775","Pembroke Pines city, Florida","67232","4306",
"1600000US1256825","Pine Hills CDP, Florida","46155","5320",
"1600000US1257425","Plantation city, Florida","71977","6102",
"1600000US1257900","Poinciana CDP, Florida","46898","5951",
"1600000US1258050","Pompano Beach city, Florida","53663","4114",
"1600000US1258350","Port Charlotte CDP, Florida","49547","7123",
"1600000US1258715","Port St. Lucie city, Florida","68041","4830",
"1600000US1260950","Riverview CDP, Florida","73631","6618",
"1600000US1263000","St. Petersburg city, Florida","61631","2749",
"1600000US1268350","Spring Hill CDP, Florida","55461","4417",
"1600000US1269700","Sunrise city, Florida","53321","8775",
"1600000US1270600","Tallahassee city, Florida","46964","4373",
"1600000US1270675","Tamarac city, Florida","44400","5306",
"1600000US1271000","Tampa city, Florida","57709","4028",
"1600000US1271569","The Hammocks CDP, Florida","72195","10363",
"1600000US1271625","The Villages CDP, Florida","68233","8021",
"1600000US1272145","Town 'n' Country CDP, Florida","56400","5589",
"1600000US1275812","Wellington village, Florida","85886","7347",
"1600000US1275875","Wesley Chapel CDP, Florida","89507","7005",
"1600000US1276582","Weston city, Florida","125105","19748",
"1600000US1276600","West Palm Beach city, Florida","51089","4971",
"1600000US1301052","Albany city, Georgia","31397","4951",
"1600000US1301696","Alpharetta city, Georgia","136047","19253",
