"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1600000US0103076","Auburn city, Alabama","69615","7741",
"1600000US0107000","Birmingham city, Alabama","51355","2944",
"1600000US0121184","Dothan city, Alabama","55846","4290",
"1600000US0135896","Hoover city, Alabama","106844","10231",
"1600000US0137000","Huntsville city, Alabama","83235","5774",
"1600000US0145784","Madison city, Alabama","140249","14368",
"1600000US0150000","Mobile city, Alabama","55307","3428",
"1600000US0151000","Montgomery city, Alabama","59292","6238",
"1600000US0177256","Tuscaloosa city, Alabama","54212","3600",
"1600000US0203000","Anchorage municipality, Alaska","105356","5596",
"1600000US0404720","Avondale city, Arizona","88152","7518",
"1600000US0407940","Buckeye city, Arizona","94199","11309",
"1600000US0410530","Casa Grande city, Arizona","85073","8298",
"1600000US0410670","Casas Adobes CDP, Arizona","83415","4033",
"1600000US0412000","Chandler city, Arizona","110284","6439",
"1600000US0423620","Flagstaff city, Arizona","74417","10336",
"1600000US0427400","Gilbert town, Arizona","124968","7793",
"1600000US0427820","Glendale city, Arizona","75711","5330",
"1600000US0428380","Goodyear city, Arizona","97186","10902",
"1600000US0444410","Maricopa city, Arizona","97753","12056",
"1600000US0446000","Mesa city, Arizona","85580","3656",
"1600000US0454050","Peoria city, Arizona","97333","6740",
"1600000US0455000","Phoenix city, Arizona","85246","2218",
"1600000US0458150","Queen Creek town, Arizona","155001","9655",
"1600000US0464210","San Tan Valley CDP, Arizona","99217","9430",
"1600000US0465000","Scottsdale city, Arizona","104893","11009",
"1600000US0471510","Surprise city, Arizona","100824","6012",
"1600000US0473000","Tempe city, Arizona","78044","6709",
"1600000US0477000","Tucson city, Arizona","60483","2076",
"1600000US0485540","Yuma city, Arizona","71828","5821",
"1600000US0515190","Conway city, Arkansas","65896","10978",
"1600000US0523290","Fayetteville city, Arkansas","66237","9392",
"1600000US0524550","Fort Smith city, Arkansas","60306","5125",
"1600000US0535710","Jonesboro city, Arkansas","51672","5976",
"1600000US0541000","Little Rock city, Arkansas","66553","3400",
"1600000US0560410","Rogers city, Arkansas","82834","11448",
"1600000US0566080","Springdale city, Arkansas","72997","10411",
"1600000US0600562","Alameda city, California","151346","16611",
"1600000US0600884","Alhambra city, California","93659","11645",
"1600000US0602000","Anaheim city, California","101145","5082",
"1600000US0602252","Antioch city, California","97998","11673",
"1600000US0602364","Apple Valley town, California","82170","9813",
"1600000US0602553","Arden-Arcade CDP, California","80277","7416",
"1600000US0603526","Bakersfield city, California","82093","4608",
"1600000US0603666","Baldwin Park city, California","79496","6409",
"1600000US0604982","Bellflower city, California","80800","7719",
"1600000US0606000","Berkeley city, California","103727","16623",
"1600000US0608142","Brentwood city, California","144110","19363",
"1600000US0608786","Buena Park city, California","106666","7141",
"1600000US0608954","Burbank city, California","85517","12500",
"1600000US0610046","Camarillo city, California","112301","11884",
"1600000US0611194","Carlsbad city, California","144444","17246",
"1600000US0611390","Carmichael CDP, California","88573","8888",
"1600000US0611530","Carson city, California","105234","7309",
"1600000US0611964","Castro Valley CDP, California","145276","23117",
"1600000US0613014","Chico city, California","65422","4987",
"1600000US0613210","Chino city, California","97461","17300",
"1600000US0613214","Chino Hills city, California","121839","14417",
"1600000US0613392","Chula Vista city, California","105101","9613",
"1600000US0613588","Citrus Heights city, California","91036","4823",
"1600000US0614218","Clovis city, California","92949","6202",
"1600000US0615044","Compton city, California","83125","8680",
"1600000US0616000","Concord city, California","107318","11878",
"1600000US0616350","Corona city, California","103507","7770",
"1600000US0616532","Costa Mesa city, California","112288","11641",
"1600000US0617918","Daly City city, California","117911","14185",
"1600000US0618100","Davis city, California","76706","9722",
"1600000US0619766","Downey city, California","92613","7695",
"1600000US0620018","Dublin city, California","202216","21175",
"1600000US0620802","East Los Angeles CDP, California","67303","3955",
"1600000US0621230","Eastvale city, California","151850","15449",
"1600000US0621712","El Cajon city, California","77462","10282",
"1600000US0622020","Elk Grove city, California","120958","7973",
"1600000US0622230","El Monte city, California","70450","6671",
"1600000US0622804","Escondido city, California","102145","4865",
"1600000US0623182","Fairfield city, California","97676","11861",
"1600000US0624638","Folsom city, California","135855","19494",
"1600000US0624680","Fontana city, California","108735","5359",
"1600000US0626000","Fremont city, California","175816","14444",
"1600000US0627000","Fresno city, California","74491","4065",
"1600000US0628000","Fullerton city, California","94261","6928",
"1600000US0629000","Garden Grove city, California","92509","6101",
"1600000US0630000","Glendale city, California","89055","8211",
"1600000US0632548","Hawthorne city, California","69044","9525",
"1600000US0633000","Hayward city, California","110406","11705",
"1600000US0633182","Hemet city, California","62386","8022",
"1600000US0633434","Hesperia city, California","72059","6183",
"1600000US0636000","Huntington Beach city, California","118105","14142",
"1600000US0636448","Indio city, California","76579","9813",
"1600000US0636546","Inglewood city, California","69362","11165",
"1600000US0636770","Irvine city, California","145731","9400",
"1600000US0637692","Jurupa Valley city, California","94942","12478",
"1600000US0639486","Lake Elsinore city, California","102034","19657",
"1600000US0639496","Lake Forest city, California","140661","18596",
"1600000US0639892","Lakewood city, California","116517","15750",
