"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1600000US0103076","Auburn city, Alabama","54839","6009",
"1600000US0107000","Birmingham city, Alabama","39326","3891",
"1600000US0121184","Dothan city, Alabama","53929","3271",
"1600000US0135896","Hoover city, Alabama","103194","16480",
"1600000US0137000","Huntsville city, Alabama","68930","4281",
"1600000US0150000","Mobile city, Alabama","50051","4406",
"1600000US0151000","Montgomery city, Alabama","55108","4447",
"1600000US0177256","Tuscaloosa city, Alabama","49005","5690",
"1600000US0203000","Anchorage municipality, Alaska","100751","4905",
"1600000US0404720","Avondale city, Arizona","66801","10439",
"1600000US0407940","Buckeye city, Arizona","95235","6127",
"1600000US0410670","Casas Adobes CDP, Arizona","75650","7146",
"1600000US0412000","Chandler city, Arizona","98664","6763",
"1600000US0423620","Flagstaff city, Arizona","63612","5754",
"1600000US0427400","Gilbert town, Arizona","111393","6567",
"1600000US0427820","Glendale city, Arizona","72411","4181",
"1600000US0428380","Goodyear city, Arizona","96522","8092",
"1600000US0444410","Maricopa city, Arizona","90985","8833",
"1600000US0446000","Mesa city, Arizona","79496","2483",
"1600000US0454050","Peoria city, Arizona","86948","8139",
"1600000US0455000","Phoenix city, Arizona","75969","1937",
"1600000US0458150","Queen Creek town, Arizona","129605","14036",
"1600000US0464210","San Tan Valley CDP, Arizona","89081","6874",
"1600000US0465000","Scottsdale city, Arizona","100636","5963",
"1600000US0471510","Surprise city, Arizona","96912","4261",
"1600000US0473000","Tempe city, Arizona","76007","5903",
"1600000US0477000","Tucson city, Arizona","51281","1867",
"1600000US0485540","Yuma city, Arizona","58043","3729",
"1600000US0515190","Conway city, Arkansas","61898","4914",
"1600000US0523290","Fayetteville city, Arkansas","52991","4223",
"1600000US0524550","Fort Smith city, Arkansas","47669","3113",
"1600000US0535710","Jonesboro city, Arkansas","61057","8117",
"1600000US0541000","Little Rock city, Arkansas","55065","4122",
"1600000US0560410","Rogers city, Arkansas","81770","8956",
"1600000US0566080","Springdale city, Arkansas","59027","7987",
"1600000US0600562","Alameda city, California","131116","11963",
"1600000US0600884","Alhambra city, California","72406","11887",
"1600000US0602000","Anaheim city, California","85133","4032",
"1600000US0602252","Antioch city, California","100178","13978",
"1600000US0602364","Apple Valley town, California","56187","7004",
"1600000US0602553","Arden-Arcade CDP, California","71457","10192",
"1600000US0603526","Bakersfield city, California","72017","3093",
"1600000US0603666","Baldwin Park city, California","70418","7228",
"1600000US0604982","Bellflower city, California","74131","11949",
"1600000US0606000","Berkeley city, California","94846","16825",
"1600000US0608142","Brentwood city, California","132610","25805",
"1600000US0608786","Buena Park city, California","102840","8298",
"1600000US0608954","Burbank city, California","92581","12493",
"1600000US0610046","Camarillo city, California","100594","13141",
"1600000US0611194","Carlsbad city, California","146596","11338",
"1600000US0611390","Carmichael CDP, California","81823","7648",
"1600000US0611530","Carson city, California","98862","13503",
"1600000US0611964","Castro Valley CDP, California","133285","22635",
"1600000US0613014","Chico city, California","65021","4241",
"1600000US0613210","Chino city, California","95721","10902",
"1600000US0613214","Chino Hills city, California","105978","7950",
"1600000US0613392","Chula Vista city, California","101190","4481",
"1600000US0613588","Citrus Heights city, California","73923","9351",
"1600000US0614218","Clovis city, California","100399","15618",
"1600000US0615044","Compton city, California","68355","11802",
"1600000US0616000","Concord city, California","104523","8718",
"1600000US0616350","Corona city, California","99953","7842",
"1600000US0616532","Costa Mesa city, California","103891","9057",
"1600000US0617918","Daly City city, California","109227","12999",
"1600000US0618100","Davis city, California","67373","13023",
"1600000US0619766","Downey city, California","85089","7850",
"1600000US0620018","Dublin city, California","186892","17065",
"1600000US0620802","East Los Angeles CDP, California","64156","4597",
"1600000US0621230","Eastvale city, California","144364","11469",
"1600000US0621712","El Cajon city, California","66045","6356",
"1600000US0622020","Elk Grove city, California","106572","7185",
"1600000US0622230","El Monte city, California","59368","5791",
"1600000US0622804","Escondido city, California","87664","10466",
"1600000US0623182","Fairfield city, California","97467","9377",
"1600000US0624638","Folsom city, California","129045","10467",
"1600000US0624680","Fontana city, California","93581","8946",
"1600000US0626000","Fremont city, California","162336","8958",
"1600000US0627000","Fresno city, California","64196","3677",
"1600000US0628000","Fullerton city, California","97004","8667",
"1600000US0629000","Garden Grove city, California","86975","8271",
"1600000US0630000","Glendale city, California","77483","6463",
"1600000US0632548","Hawthorne city, California","73515","6213",
"1600000US0633000","Hayward city, California","101199","11625",
"1600000US0633182","Hemet city, California","54156","7112",
"1600000US0633434","Hesperia city, California","73821","3847",
"1600000US0636000","Huntington Beach city, California","111122","6854",
"1600000US0636448","Indio city, California","79372","10978",
"1600000US0636546","Inglewood city, California","62601","5496",
"1600000US0636770","Irvine city, California","123003","5953",
"1600000US0637692","Jurupa Valley city, California","92883","9535",
"1600000US0639486","Lake Elsinore city, California","91479","8526",
"1600000US0639496","Lake Forest city, California","128033","16736",
"1600000US0639892","Lakewood city, California","109309","7359",
"1600000US0640130","Lancaster city, California","79113","6229",
"1600000US0641992","Livermore city, California","145919","17831",
"1600000US0642202","Lodi city, California","88440","13537",
"1600000US0643000","Long Beach city, California","80493","4404",
"1600000US0644000","Los Angeles city, California","76135","1172",
"1600000US0644574","Lynwood city, California","64481","12554",
"1600000US0645022","Madera city, California","67454","9810",
"1600000US0645484","Manteca city, California","83380","8460",
"1600000US0646842","Menifee city, California","86206","8598",
"1600000US0646898","Merced city, California","64160","7511",
"1600000US0647766","Milpitas city, California","169818","14203",
"1600000US0648256","Mission Viejo city, California","126469","15572",
"1600000US0648354","Modesto city, California","73275","5792",
"1600000US0649270","Moreno Valley city, California","86909","7498",
"1600000US0649670","Mountain View city, California","165448","23060",
"1600000US0650076","Murrieta city, California","106709","8986",
"1600000US0650258","Napa city, California","94248","14333",
"1600000US0651182","Newport Beach city, California","127353","11944",
"1600000US0652526","Norwalk city, California","94851","7706",
"1600000US0653000","Oakland city, California","93146","6232",
"1600000US0653322","Oceanside city, California","83271","7571",
"1600000US0653896","Ontario city, California","79129","7188",
"1600000US0653980","Orange city, California","105572","8402",
"1600000US0654652","Oxnard city, California","84941","4196",
"1600000US0655156","Palmdale city, California","90330","7766",
"1600000US0655282","Palo Alto city, California","179707","15127",
"1600000US0656000","Pasadena city, California","95134","10215",
"1600000US0656700","Perris city, California","80234","8433",
"1600000US0657456","Pittsburg city, California","88842","11733",
"1600000US0657792","Pleasanton city, California","183969","26800",
"1600000US0658072","Pomona city, California","77609","7629",
"1600000US0659444","Rancho Cordova city, California","82178","9132",
"1600000US0659451","Rancho Cucamonga city, California","108345","8524",
"1600000US0659920","Redding city, California","68551","8204",
"1600000US0659962","Redlands city, California","92787","3147",
"1600000US0660018","Redondo Beach city, California","140786","15980",
"1600000US0660102","Redwood City city, California","137512","21584",
"1600000US0660466","Rialto city, California","85585","8869",
"1600000US0660620","Richmond city, California","88594","9131",
"1600000US0662000","Riverside city, California","81228","4210",
"1600000US0662364","Rocklin city, California","119436","12771",
"1600000US0662938","Roseville city, California","100739","6576",
"1600000US0664000","Sacramento city, California","80254","2366",
"1600000US0664224","Salinas city, California","80560","9147",
"1600000US0665000","San Bernardino city, California","62801","5327",
"1600000US0665042","San Buenaventura (Ventura) city, California","100073","8685",
"1600000US0666000","San Diego city, California","100010","2744",
"1600000US0667000","San Francisco city, California","136692","4051",
"1600000US0668000","San Jose city, California","133835","5633",
